state,distnum,distid,party,partname,yearel,origvote,totvote,highestvote,sechighestvote,uniqid,officeexp
1,2,2,200,R,1974,69380.0,176940.0,104436.0,69380.0,13006,0
1,2,2,100,D,1976,142684.0,219284.0,142684.0,74743.0,8246,1
1,2,2,200,R,1976,74743.0,219284.0,142684.0,74743.0,14286,0
1,2,2,100,D,1978,116624.0,166791.0,116624.0,50167.0,8246,2
1,2,2,200,R,1978,50167.0,166791.0,116624.0,50167.0,6580,0
1,2,2,100,D,1980,119176.0,223283.0,119176.0,104107.0,10906,0
1,2,2,200,R,1980,104107.0,223283.0,119176.0,104107.0,11917,0
1,2,2,100,D,1982,95254.0,170803.0,95254.0,74294.0,10906,1
1,2,2,200,R,1982,74294.0,170803.0,95254.0,74294.0,11917,0
1,2,2,100,D,1984,124110.0,228253.0,124110.0,103119.0,10906,2
1,2,2,200,R,1984,103119.0,228253.0,124110.0,103119.0,15925,0
1,2,2,100,D,1986,109229.0,162098.0,109229.0,52869.0,10906,3
1,2,2,200,R,1986,52869.0,162098.0,109229.0,52869.0,20153,0
1,2,2,100,D,1988,143326.0,225291.0,143326.0,81965.0,10906,4
1,2,2,200,R,1988,81965.0,225291.0,143326.0,81965.0,5406,0
1,2,2,100,D,1990,105085.0,176007.0,105085.0,70922.0,10906,5
1,2,2,200,R,1990,70922.0,176007.0,105085.0,70922.0,22842,0
1,2,2,100,D,1992,83197.0,242707.0,119416.0,83197.0,10906,6
1,2,2,200,R,1992,119416.0,242707.0,119416.0,83197.0,20201,0
1,2,2,100,D,1994,79188.0,186071.0,79188.0,79167.0,10906,7
1,2,2,200,R,1994,79167.0,186071.0,79188.0,79167.0,20201,0
1,2,2,100,D,1996,106544.0,223247.0,106544.0,100332.0,10906,8
1,2,2,200,R,1996,100332.0,223247.0,106544.0,100332.0,20201,0
1,2,2,100,D,1998,99567.0,163201.0,99567.0,57860.0,10906,9
1,2,2,200,R,1998,57860.0,163201.0,99567.0,57860.0,15973,0
1,3,3,100,D,1946,53404.0,129812.0,76408.0,53404.0,10891,0
1,3,3,200,R,1946,76408.0,129812.0,76408.0,53404.0,10101,0
1,3,3,100,D,1948,84449.0,169983.0,84449.0,83310.0,18686,0
1,3,3,200,R,1948,83310.0,169983.0,84449.0,83310.0,10101,1
1,3,3,100,D,1950,89391.0,172173.0,89391.0,82304.0,5579,0
1,3,3,200,R,1950,82304.0,172173.0,89391.0,82304.0,10101,1
1,3,3,100,D,1952,99408.0,210426.0,111018.0,99408.0,18686,1
1,3,3,200,R,1952,111018.0,210426.0,111018.0,99408.0,7064,0
1,3,3,100,D,1954,85369.0,180346.0,94977.0,85369.0,10799,0
1,3,3,200,R,1954,94977.0,180346.0,94977.0,85369.0,7064,1
1,3,3,100,D,1956,84568.0,211418.0,126850.0,84568.0,11010,0
1,3,3,200,R,1956,126850.0,211418.0,126850.0,84568.0,7064,2
1,3,3,100,D,1958,101028.0,179693.0,101028.0,78665.0,11010,0
1,3,3,200,R,1958,78665.0,179693.0,101028.0,78665.0,7064,3
1,3,3,100,D,1960,124547.0,226818.0,124547.0,102271.0,11010,1
1,3,3,200,R,1960,102271.0,226818.0,124547.0,102271.0,7064,3
1,3,3,100,D,1962,104728.0,186943.0,104728.0,82215.0,11010,2
1,3,3,200,R,1962,82215.0,186943.0,104728.0,82215.0,23284,0
1,3,3,100,D,1964,126353.0,197746.0,126353.0,71393.0,11010,3
1,3,3,200,R,1964,71393.0,197746.0,126353.0,71393.0,4952,0
1,3,3,100,D,1966,86029.0,161985.0,86029.0,67226.0,11010,4
1,3,3,200,R,1966,67226.0,161985.0,86029.0,67226.0,24569,0
1,3,3,100,D,1968,102636.0,190072.0,102636.0,80696.0,11010,5
1,3,3,200,R,1968,80696.0,190072.0,102636.0,80696.0,24569,0
1,3,3,100,D,1970,89042.0,163188.0,89042.0,69084.0,11010,6
1,3,3,200,R,1970,69084.0,163188.0,89042.0,69084.0,8751,0
1,3,3,100,D,1972,121217.0,227530.0,121217.0,106313.0,11010,7
1,3,3,200,R,1972,106313.0,227530.0,121217.0,106313.0,22449,0
1,3,3,100,D,1974,114316.0,175493.0,114316.0,55177.0,11010,8
1,3,3,200,R,1974,55177.0,175493.0,114316.0,55177.0,1721,0
1,3,3,100,D,1976,121623.0,222623.0,121623.0,96714.0,11010,9
1,3,3,200,R,1976,96714.0,222623.0,121623.0,96714.0,22659,0
1,3,3,100,D,1978,96830.0,166561.0,96830.0,66663.0,11010,10
1,3,3,200,R,1978,66663.0,166561.0,96830.0,66663.0,22659,0
1,3,3,100,D,1980,103903.0,223638.0,117024.0,103903.0,16912,0
1,3,3,200,R,1980,117024.0,223638.0,117024.0,103903.0,7845,0
1,3,3,100,D,1982,90638.0,181449.0,90638.0,88951.0,20009,0
1,3,3,200,R,1982,88951.0,181449.0,90638.0,88951.0,7845,1
1,3,3,100,D,1984,129230.0,245795.0,129230.0,115939.0,20009,1
1,3,3,200,R,1984,115939.0,245795.0,129230.0,115939.0,7845,1
1,3,3,100,D,1986,114276.0,164082.0,114276.0,49806.0,20009,2
1,3,3,200,R,1986,49806.0,164082.0,114276.0,49806.0,8094,0
1,3,3,100,D,1988,147394.0,221669.0,147394.0,74275.0,20009,3
1,3,3,200,R,1988,74275.0,221669.0,147394.0,74275.0,21728,0
1,3,3,100,D,1990,90772.0,174212.0,90772.0,83440.0,7764,0
1,3,3,200,R,1990,83440.0,174212.0,90772.0,83440.0,25800,0
1,3,3,100,D,1992,112022.0,247520.0,112022.0,84952.0,7764,1
1,3,3,200,R,1992,84952.0,247520.0,112022.0,84952.0,25800,0
1,3,3,100,D,1994,111261.0,175355.0,111261.0,53110.0,7764,2
1,3,3,200,R,1994,53110.0,175355.0,111261.0,53110.0,14583,0
1,3,3,100,D,1996,137108.0,211352.0,137108.0,59335.0,7764,3
1,3,3,200,R,1996,59335.0,211352.0,137108.0,59335.0,6751,0
1,3,3,100,D,1998,109726.0,153851.0,109726.0,42090.0,7764,4
1,3,3,200,R,1998,42090.0,153851.0,109726.0,42090.0,23334,0
1,4,4,100,D,1946,57913.0,163687.0,93513.0,57913.0,20124,0
1,4,4,200,R,1946,93513.0,163687.0,93513.0,57913.0,17073,0
1,4,4,100,D,1948,92618.0,213461.0,117727.0,92618.0,10832,0
1,4,4,200,R,1948,117727.0,213461.0,117727.0,92618.0,17073,1
1,4,4,100,D,1950,88682.0,210876.0,111939.0,88682.0,17399,0
1,4,4,200,R,1950,111939.0,210876.0,111939.0,88682.0,19889,0
1,4,4,100,D,1952,107881.0,274188.0,164689.0,107881.0,17379,0
1,4,4,200,R,1952,164689.0,274188.0,164689.0,107881.0,19889,1
1,4,4,100,D,1954,91184.0,220487.0,123890.0,91184.0,9583,0
1,4,4,200,R,1954,123890.0,220487.0,123890.0,91184.0,19889,2
1,4,4,100,D,1956,88487.0,284274.0,194333.0,88487.0,27597,0
1,4,4,200,R,1956,194333.0,284274.0,194333.0,88487.0,19889,3
1,4,4,100,D,1958,119766.0,235271.0,119766.0,115505.0,14246,0
1,4,4,200,R,1958,115505.0,235271.0,119766.0,115505.0,19889,4
1,4,4,100,D,1960,150205.0,313209.0,160654.0,150205.0,14246,1
1,4,4,200,R,1960,160654.0,313209.0,160654.0,150205.0,26320,0
1,4,4,100,D,1962,122362.0,254957.0,132595.0,122362.0,16686,0
1,4,4,200,R,1962,132595.0,254957.0,132595.0,122362.0,26320,1
1,4,4,100,D,1964,117220.0,226247.0,117220.0,109027.0,14246,1
1,4,4,200,R,1964,109027.0,226247.0,117220.0,109027.0,26320,2
1,4,4,100,D,1966,89709.0,176046.0,89709.0,86337.0,14246,2
1,4,4,200,R,1966,86337.0,176046.0,89709.0,86337.0,26320,2
1,4,4,100,D,1968,104723.0,221270.0,113749.0,104723.0,14246,3
1,4,4,200,R,1968,113749.0,221270.0,113749.0,104723.0,29771,0
1,4,4,100,D,1970,78699.0,184621.0,104494.0,78699.0,7339,0
1,4,4,200,R,1970,104494.0,184621.0,104494.0,78699.0,18812,0
1,4,4,100,D,1972,79515.0,215398.0,135883.0,79515.0,18862,0
1,4,4,200,R,1972,135883.0,215398.0,135883.0,79515.0,18812,1
1,4,4,100,D,1974,71047.0,157217.0,83630.0,71047.0,15282,0
1,4,4,200,R,1974,83630.0,157217.0,83630.0,71047.0,18812,2
1,4,4,100,D,1976,76722.0,207033.0,126314.0,76722.0,21991,0
1,4,4,200,R,1976,126314.0,207033.0,126314.0,76722.0,18812,3
1,4,4,100,D,1978,59918.0,143908.0,83990.0,59918.0,19930,0
1,4,4,200,R,1978,83990.0,143908.0,83990.0,59918.0,18812,4
1,4,4,100,D,1980,74326.0,198611.0,124285.0,74326.0,22111,0
1,4,4,200,R,1980,124285.0,198611.0,124285.0,74326.0,18812,5
1,4,4,100,D,1982,71110.0,165897.0,93660.0,71110.0,22111,0
1,4,4,200,R,1982,93660.0,165897.0,93660.0,71110.0,18812,6
1,4,4,100,D,1984,69666.0,235310.0,165644.0,69666.0,21256,0
1,4,4,200,R,1984,165644.0,235310.0,165644.0,69666.0,18812,7
1,4,4,100,D,1986,66999.0,144211.0,77212.0,66999.0,20674,0
1,4,4,200,R,1986,77212.0,144211.0,77212.0,66999.0,18812,8
1,4,4,100,D,1988,55751.0,205973.0,147843.0,55751.0,21793,0
1,4,4,200,R,1988,147843.0,205973.0,147843.0,55751.0,26102,0
1,4,4,100,D,1990,32352.0,138034.0,105682.0,32352.0,26903,0
1,4,4,200,R,1990,105682.0,138034.0,105682.0,32352.0,26102,1
1,4,4,100,D,1992,58666.0,219606.0,147816.0,58666.0,25685,0
1,4,4,200,R,1992,147816.0,219606.0,147816.0,58666.0,26102,2
1,4,4,100,D,1994,34962.0,147062.0,109436.0,34962.0,15026,0
1,4,4,200,R,1994,109436.0,147062.0,109436.0,34962.0,26102,3
1,4,4,100,D,1996,75902.0,201712.0,121949.0,75902.0,9761,0
1,4,4,200,R,1996,121949.0,201712.0,121949.0,75902.0,26102,4
1,4,4,100,D,1998,40988.0,137204.0,94767.0,40988.0,15026,0
1,4,4,200,R,1998,94767.0,137204.0,94767.0,40988.0,26102,5
1,5,5,100,D,1946,39785.0,97559.0,51790.0,39785.0,22833,0
1,5,5,200,R,1946,51790.0,97559.0,51790.0,39785.0,21705,0
1,5,5,100,D,1948,58300.0,122989.0,62804.0,58300.0,15520,0
1,5,5,200,R,1948,62804.0,122989.0,62804.0,58300.0,21705,1
1,5,5,100,D,1950,56752.0,124306.0,65915.0,56752.0,3746,0
1,5,5,200,R,1950,65915.0,124306.0,65915.0,56752.0,21705,2
1,5,5,100,D,1952,64020.0,147868.0,83848.0,64020.0,27167,0
1,5,5,200,R,1952,83848.0,147868.0,83848.0,64020.0,21705,3
1,5,5,100,D,1954,61313.0,129764.0,68451.0,61313.0,4152,0
1,5,5,200,R,1954,68451.0,129764.0,68451.0,61313.0,21705,4
1,5,5,100,D,1956,56375.0,148065.0,91690.0,56375.0,17893,0
1,5,5,200,R,1956,91690.0,148065.0,91690.0,56375.0,21705,5
1,5,5,100,D,1958,72604.0,134957.0,72604.0,62353.0,19721,0
1,5,5,200,R,1958,62353.0,134957.0,72604.0,62353.0,21705,6
1,5,5,100,D,1960,88310.0,160274.0,88310.0,71964.0,19721,1
1,5,5,200,R,1960,71964.0,160274.0,88310.0,71964.0,21705,6
1,5,5,100,D,1962,83321.0,142393.0,83321.0,59072.0,19721,2
1,5,5,200,R,1962,59072.0,142393.0,83321.0,59072.0,22913,0
1,5,5,100,D,1964,133072.0,197723.0,133072.0,64651.0,19721,3
1,5,5,200,R,1964,64651.0,197723.0,133072.0,64651.0,28273,0
1,5,5,100,D,1966,96801.0,163895.0,96801.0,67094.0,19721,4
1,5,5,200,R,1966,67094.0,163895.0,96801.0,67094.0,22032,0
1,5,5,100,D,1968,110337.0,195928.0,110337.0,85591.0,19721,5
1,5,5,200,R,1968,85591.0,195928.0,110337.0,85591.0,24411,0
1,5,5,100,D,1970,96947.0,177088.0,96947.0,78414.0,19721,6
1,5,5,200,R,1970,78414.0,177088.0,96947.0,78414.0,21705,6
1,5,5,100,D,1972,112142.0,229720.0,117578.0,112142.0,19721,7
1,5,5,200,R,1972,117578.0,229720.0,117578.0,112142.0,24676,0
1,5,5,100,D,1974,90407.0,188476.0,94998.0,90407.0,23002,0
1,5,5,200,R,1974,94998.0,188476.0,94998.0,90407.0,24676,1
1,5,5,100,D,1976,77308.0,236060.0,157009.0,77308.0,1482,0
1,5,5,200,R,1976,157009.0,236060.0,157009.0,77308.0,24676,2
1,5,5,100,D,1978,96738.0,184900.0,96738.0,88162.0,23002,0
1,5,5,200,R,1978,88162.0,184900.0,96738.0,88162.0,11919,0
1,5,5,100,D,1980,117316.0,232930.0,117316.0,115614.0,23002,1
1,5,5,200,R,1980,115614.0,232930.0,117316.0,115614.0,8325,0
1,5,5,100,D,1982,101362.0,173373.0,101362.0,70808.0,23002,2
1,5,5,200,R,1982,70808.0,173373.0,101362.0,70808.0,12325,0
1,5,5,100,D,1984,109425.0,240657.0,130700.0,109425.0,23002,3
1,5,5,200,R,1984,130700.0,240657.0,130700.0,109425.0,24262,0
1,5,5,100,D,1986,63371.0,162035.0,98664.0,63371.0,6344,0
1,5,5,200,R,1986,98664.0,162035.0,98664.0,63371.0,24262,1
1,5,5,100,D,1988,58612.0,222341.0,163729.0,58612.0,17785,0
1,5,5,200,R,1988,163729.0,222341.0,163729.0,58612.0,24262,2
1,5,5,100,D,1990,85803.0,181603.0,93912.0,85803.0,19656,4
1,5,5,200,R,1990,93912.0,181603.0,93912.0,85803.0,10332,0
1,5,5,100,D,1992,74791.0,240283.0,104891.0,74791.0,16485,0
1,5,5,200,R,1992,104891.0,240283.0,104891.0,74791.0,10332,1
1,5,5,100,D,1994,57579.0,179053.0,93471.0,57579.0,17656,0
1,5,5,200,R,1994,93471.0,179053.0,93471.0,57579.0,10332,2
1,5,5,100,D,1996,105359.0,215130.0,105359.0,98782.0,17656,0
1,5,5,200,R,1996,98782.0,215130.0,105359.0,98782.0,10332,3
1,5,5,100,D,1998,78394.0,157157.0,78394.0,76051.0,17656,1
1,5,5,200,R,1998,76051.0,157157.0,78394.0,76051.0,20677,0
1,6,6,100,D,1964,115498.0,196603.0,115498.0,81105.0,11477,1
1,6,6,200,R,1964,81105.0,196603.0,115498.0,81105.0,19110,0
1,6,6,100,D,1966,79865.0,167503.0,81907.0,79865.0,11477,2
1,6,6,200,R,1966,81907.0,167503.0,81907.0,79865.0,19110,0
1,6,6,100,D,1968,76413.0,202621.0,126208.0,76413.0,26044,0
1,6,6,200,R,1968,126208.0,202621.0,126208.0,76413.0,19110,1
1,6,6,100,D,1970,96969.0,189875.0,96969.0,92906.0,11577,0
1,6,6,200,R,1970,92906.0,189875.0,96969.0,92906.0,15524,0
1,6,6,100,D,1972,140290.0,233073.0,140290.0,92783.0,11577,1
1,6,6,200,R,1972,92783.0,233073.0,140290.0,92783.0,29469,0
1,6,6,100,D,1974,122785.0,193550.0,122785.0,69942.0,19656,0
1,6,6,200,R,1974,69942.0,193550.0,122785.0,69942.0,22247,0
1,6,6,100,D,1976,134914.0,238282.0,134914.0,102364.0,19656,1
1,6,6,200,R,1976,102364.0,238282.0,134914.0,102364.0,28944,0
1,6,6,100,D,1978,119537.0,186201.0,119537.0,66664.0,19656,2
1,6,6,200,R,1978,66664.0,186201.0,119537.0,66664.0,17505,0
1,6,6,100,D,1980,142685.0,242011.0,142685.0,98331.0,19656,3
1,6,6,200,R,1980,98331.0,242011.0,142685.0,98331.0,25511,0
1,6,6,100,D,1982,92178.0,192972.0,99703.0,92178.0,7230,0
1,6,6,200,R,1982,99703.0,192972.0,99703.0,92178.0,14610,0
1,6,6,100,D,1984,87489.0,242911.0,155422.0,87489.0,13825,0
1,6,6,200,R,1984,155422.0,242911.0,155422.0,87489.0,14610,1
1,6,6,100,D,1986,62133.0,173437.0,111304.0,62133.0,1743,0
1,6,6,200,R,1986,111304.0,173437.0,111304.0,62133.0,14610,2
1,6,6,100,D,1988,78814.0,236888.0,157020.0,78814.0,11773,0
1,6,6,200,R,1988,157020.0,236888.0,157020.0,78814.0,14610,3
1,6,6,100,D,1990,48628.0,189733.0,141105.0,48628.0,16086,0
1,6,6,200,R,1990,141105.0,189733.0,141105.0,48628.0,14610,4
1,6,6,100,D,1992,60373.0,239597.0,166967.0,60373.0,26572,0
1,6,6,200,R,1992,166967.0,239597.0,166967.0,60373.0,14610,5
1,6,6,100,D,1994,44159.0,192717.0,123101.0,44159.0,15953,0
1,6,6,200,R,1994,123101.0,192717.0,123101.0,44159.0,14610,6
1,6,6,100,D,1996,104225.0,227756.0,113020.0,104225.0,15953,0
1,6,6,200,R,1996,113020.0,227756.0,113020.0,104225.0,14610,7
1,6,6,100,D,1998,69201.0,174781.0,101630.0,69201.0,15953,0
1,6,6,200,R,1998,101630.0,174781.0,101630.0,69201.0,14610,8
1,98,7,100,D,1946,277872.0,679766.0,377972.0,277872.0,24480,0
1,98,7,200,R,1946,377972.0,679766.0,377972.0,277872.0,24524,0
1,98,7,100,D,1948,429348.0,879351.0,433311.0,429348.0,28759,0
1,98,7,200,R,1948,433311.0,879351.0,433311.0,429348.0,24524,1
1,98,7,100,D,1950,426485.0,878388.0,433912.0,426485.0,3747,0
1,98,7,200,R,1950,433912.0,878388.0,433912.0,426485.0,24524,2
1,98,7,100,D,1952,489645.0,1093948.0,601238.0,489645.0,22532,0
1,98,7,200,R,1952,601238.0,1093948.0,601238.0,489645.0,24524,3
1,98,7,100,D,1954,455887.0,930472.0,474585.0,455887.0,17379,0
1,98,7,200,R,1954,474585.0,930472.0,474585.0,455887.0,24524,4
1,98,7,100,D,1956,428709.0,1112096.0,683387.0,428709.0,16113,0
1,98,7,200,R,1956,683387.0,1112096.0,683387.0,428709.0,24524,5
1,98,7,100,D,1958,542315.0,967767.0,542315.0,425452.0,15979,0
1,98,7,200,R,1958,425452.0,967767.0,542315.0,425452.0,24524,6
1,98,7,100,D,1960,657680.0,1218483.0,657680.0,560803.0,15979,1
1,98,7,200,R,1960,560803.0,1218483.0,657680.0,560803.0,24524,6
1,98,7,100,D,1962,543424.0,1030999.0,543424.0,487575.0,11477,0
1,98,7,200,R,1962,487575.0,1030999.0,543424.0,487575.0,17361,0
2,1,8,100,D,1964,95195.0,190593.0,95398.0,95195.0,7263,0
2,1,8,200,R,1964,95398.0,190593.0,95398.0,95195.0,28824,0
2,1,8,100,D,1966,81302.0,161384.0,81302.0,72984.0,16140,0
2,1,8,200,R,1966,72984.0,161384.0,81302.0,72984.0,10760,0
2,1,8,100,D,1968,113501.0,200450.0,113501.0,86949.0,16140,1
2,1,8,200,R,1968,86949.0,200450.0,113501.0,86949.0,13245,0
2,1,8,100,D,1970,99483.0,168154.0,99483.0,68671.0,16140,2
2,1,8,200,R,1970,68671.0,168154.0,99483.0,68671.0,27121,0
2,1,8,100,D,1972,129408.0,217996.0,129408.0,88588.0,16140,3
2,1,8,200,R,1972,88588.0,217996.0,129408.0,88588.0,22384,0
2,1,8,100,D,1974,93524.0,187727.0,94203.0,93524.0,16140,4
2,1,8,200,R,1974,94203.0,187727.0,94203.0,93524.0,9169,0
2,1,8,100,D,1976,108105.0,253628.0,145523.0,108105.0,2711,0
2,1,8,200,R,1976,145523.0,253628.0,145523.0,108105.0,9169,1
2,1,8,100,D,1978,70348.0,196485.0,120791.0,70348.0,22773,0
2,1,8,200,R,1978,120791.0,196485.0,120791.0,70348.0,9169,2
2,1,8,100,D,1980,86819.0,275486.0,188667.0,86819.0,21472,0
2,1,8,200,R,1980,188667.0,275486.0,188667.0,86819.0,9169,3
2,1,8,100,D,1982,118884.0,247955.0,124850.0,118884.0,15481,0
2,1,8,200,R,1982,124850.0,247955.0,124850.0,118884.0,18796,0
2,1,8,100,D,1984,104972.0,287757.0,182785.0,104972.0,13375,0
2,1,8,200,R,1984,182785.0,287757.0,182785.0,104972.0,18796,1
2,1,8,100,D,1986,121848.0,229217.0,121848.0,100260.0,4265,0
2,1,8,200,R,1986,100260.0,229217.0,121848.0,100260.0,14267,0
2,1,8,100,D,1988,190989.0,302114.0,190989.0,111125.0,4265,1
2,1,8,200,R,1988,111125.0,302114.0,190989.0,111125.0,20905,0
2,1,8,100,D,1990,167623.0,278459.0,167623.0,110836.0,1855,0
2,1,8,200,R,1990,110836.0,278459.0,167623.0,110836.0,9169,4
2,1,8,100,D,1992,232696.0,357932.0,232696.0,125236.0,1855,1
2,1,8,200,R,1992,125236.0,357932.0,232696.0,125236.0,2860,0
2,1,8,100,D,1994,126373.0,262689.0,136316.0,126373.0,8820,0
2,1,8,200,R,1994,136316.0,262689.0,136316.0,126373.0,17155,0
2,1,8,100,D,1996,173745.0,314099.0,173745.0,140354.0,1662,0
2,1,8,200,R,1996,140354.0,314099.0,173745.0,140354.0,17155,1
2,1,8,100,D,1998,134335.0,222677.0,134335.0,79160.0,1662,1
2,1,8,200,R,1998,79160.0,222677.0,134335.0,79160.0,6585,0
2,2,9,100,D,1964,110931.0,178909.0,110931.0,67978.0,12736,0
2,2,9,200,R,1964,67978.0,178909.0,110931.0,67978.0,17510,0
2,2,9,100,D,1966,85956.0,151432.0,85956.0,65476.0,12736,1
2,2,9,200,R,1966,65476.0,151432.0,85956.0,65476.0,10080,0
2,2,9,100,D,1968,102369.0,183767.0,102369.0,81398.0,12736,2
2,2,9,200,R,1968,81398.0,183767.0,102369.0,81398.0,26316,0
2,2,9,100,D,1970,96235.0,149877.0,96235.0,53642.0,12736,3
2,2,9,200,R,1970,53642.0,149877.0,96235.0,53642.0,6592,0
2,2,9,100,D,1972,89135.0,195415.0,106280.0,89135.0,29212,0
