,state,distnum,distid,party,partname,yearel,origvote,totvote,highestvote,sechighestvote,uniqid,officeexp,share,w_share,inc,next,next_tv
89,1,2,2,100,D,1984,124110.0,228253.0,124110.0,103119.0,10906,2,0.5461890867802965,0.5461890867802965,1,0.6738454515169836,109229.0
91,1,2,2,100,D,1986,109229.0,162098.0,109229.0,52869.0,10906,3,0.6738454515169836,0.6738454515169836,1,0.6361816495110768,143326.0
93,1,2,2,100,D,1988,143326.0,225291.0,143326.0,81965.0,10906,4,0.6361816495110768,0.6361816495110768,1,0.5000663067159231,79188.0
99,1,2,2,100,D,1994,79188.0,186071.0,79188.0,79167.0,10906,7,0.5000663067159231,0.5000663067159231,1,0.5150138247065875,106544.0
105,1,3,3,100,D,1946,53404.0,129812.0,76408.0,53404.0,10891,0,0.411394940375312,0.588605059624688,0,0.5033947508032356,84449.0
107,1,3,3,100,D,1948,84449.0,169983.0,84449.0,83310.0,18686,0,0.5033947508032356,0.5033947508032356,1,0.4733623146618167,85369.0
113,1,3,3,100,D,1954,85369.0,180346.0,94977.0,85369.0,10799,0,0.4733623146618167,0.5266376853381832,0,0.4000037839729824,84568.0
115,1,3,3,100,D,1956,84568.0,211418.0,126850.0,84568.0,11010,0,0.4000037839729824,0.5999962160270176,0,0.5622255736172249,101028.0
117,1,3,3,100,D,1958,101028.0,179693.0,101028.0,78665.0,11010,0,0.5622255736172249,0.5622255736172249,1,0.638966148493522,126353.0
123,1,3,3,100,D,1964,126353.0,197746.0,126353.0,71393.0,11010,3,0.638966148493522,0.638966148493522,1,0.5613454699683534,86029.0
125,1,3,3,100,D,1966,86029.0,161985.0,86029.0,67226.0,11010,4,0.5613454699683534,0.5613454699683534,1,0.5598367988130822,102636.0
127,1,3,3,100,D,1968,102636.0,190072.0,102636.0,80696.0,11010,5,0.5598367988130822,0.5598367988130822,1,0.6744585322107698,114316.0
133,1,3,3,100,D,1974,114316.0,175493.0,114316.0,55177.0,11010,8,0.6744585322107698,0.6744585322107698,1,0.5570425534838346,121623.0
135,1,3,3,100,D,1976,121623.0,222623.0,121623.0,96714.0,11010,9,0.5570425534838346,0.5570425534838346,1,0.5922577725040216,96830.0
137,1,3,3,100,D,1978,96830.0,166561.0,96830.0,66663.0,11010,10,0.5922577725040216,0.5922577725040216,1,0.5271057923310043,129230.0
143,1,3,3,100,D,1984,129230.0,245795.0,129230.0,115939.0,20009,1,0.5271057923310043,0.5271057923310043,1,0.6964566497239185,114276.0
145,1,3,3,100,D,1986,114276.0,164082.0,114276.0,49806.0,20009,2,0.6964566497239185,0.6964566497239185,1,0.6649283391001899,147394.0
147,1,3,3,100,D,1988,147394.0,221669.0,147394.0,74275.0,20009,3,0.6649283391001899,0.6649283391001899,1,0.67688947563743,111261.0
153,1,3,3,100,D,1994,111261.0,175355.0,111261.0,53110.0,7764,2,0.67688947563743,0.67688947563743,1,0.6979530958089624,137108.0
159,1,4,4,100,D,1946,57913.0,163687.0,93513.0,57913.0,20124,0,0.38245083407076724,0.6175491659292328,0,0.44031472105350733,92618.0
161,1,4,4,100,D,1948,92618.0,213461.0,117727.0,92618.0,10832,0,0.44031472105350733,0.5596852789464927,0,0.42396570482717577,91184.0
167,1,4,4,100,D,1954,91184.0,220487.0,123890.0,91184.0,9583,0,0.42396570482717577,0.5760342951728242,0,0.31287391273601584,88487.0
169,1,4,4,100,D,1956,88487.0,284274.0,194333.0,88487.0,27597,0,0.31287391273601584,0.6871260872639842,0,0.5090555147043196,119766.0
171,1,4,4,100,D,1958,119766.0,235271.0,119766.0,115505.0,14246,0,0.5090555147043196,0.5090555147043196,1,0.5181063174318333,117220.0
177,1,4,4,100,D,1964,117220.0,226247.0,117220.0,109027.0,14246,1,0.5181063174318333,0.5181063174318333,1,0.5095770423639276,89709.0
179,1,4,4,100,D,1966,89709.0,176046.0,89709.0,86337.0,14246,2,0.5095770423639276,0.5095770423639276,1,0.4793428906221392,104723.0
181,1,4,4,100,D,1968,104723.0,221270.0,113749.0,104723.0,14246,3,0.4793428906221392,0.5206571093778608,0,0.45932491579226387,71047.0
187,1,4,4,100,D,1974,71047.0,157217.0,83630.0,71047.0,15282,0,0.45932491579226387,0.5406750842077361,0,0.37787387458381766,76722.0
189,1,4,4,100,D,1976,76722.0,207033.0,126314.0,76722.0,21991,0,0.37787387458381766,0.6221261254161824,0,0.41636323206493037,59918.0
191,1,4,4,100,D,1978,59918.0,143908.0,83990.0,59918.0,19930,0,0.41636323206493037,0.5836367679350696,0,0.29606051591517574,69666.0
197,1,4,4,100,D,1984,69666.0,235310.0,165644.0,69666.0,21256,0,0.29606051591517574,0.7039394840848243,0,0.46459007981360645,66999.0
199,1,4,4,100,D,1986,66999.0,144211.0,77212.0,66999.0,20674,0,0.46459007981360645,0.5354099201863936,0,0.2738341994361327,55751.0
201,1,4,4,100,D,1988,55751.0,205973.0,147843.0,55751.0,21793,0,0.2738341994361327,0.7261658005638673,0,0.24212246707018104,34962.0
207,1,4,4,100,D,1994,34962.0,147062.0,109436.0,34962.0,15026,0,0.24212246707018104,0.757877532929819,0,0.3836321272068375,75902.0
213,1,5,5,100,D,1946,39785.0,97559.0,51790.0,39785.0,22833,0,0.43445263445263443,0.5655473655473655,0,0.48140441273616064,58300.0
215,1,5,5,100,D,1948,58300.0,122989.0,62804.0,58300.0,15520,0,0.48140441273616064,0.5185955872638394,0,0.47249622391418267,61313.0
221,1,5,5,100,D,1954,61313.0,129764.0,68451.0,61313.0,4152,0,0.47249622391418267,0.5275037760858173,0,0.3807449430993145,56375.0
223,1,5,5,100,D,1956,56375.0,148065.0,91690.0,56375.0,17893,0,0.3807449430993145,0.6192550569006855,0,0.5379787636061857,72604.0
225,1,5,5,100,D,1958,72604.0,134957.0,72604.0,62353.0,19721,0,0.5379787636061857,0.5379787636061857,1,0.673022359563632,133072.0
231,1,5,5,100,D,1964,133072.0,197723.0,133072.0,64651.0,19721,3,0.673022359563632,0.673022359563632,1,0.5906281460691296,96801.0
233,1,5,5,100,D,1966,96801.0,163895.0,96801.0,67094.0,19721,4,0.5906281460691296,0.5906281460691296,1,0.5631507492548283,110337.0
235,1,5,5,100,D,1968,110337.0,195928.0,110337.0,85591.0,19721,5,0.5631507492548283,0.5631507492548283,1,0.48761899625144955,90407.0
241,1,5,5,100,D,1974,90407.0,188476.0,94998.0,90407.0,23002,0,0.48761899625144955,0.5123810037485504,0,0.3299291131245279,77308.0
243,1,5,5,100,D,1976,77308.0,236060.0,157009.0,77308.0,1482,0,0.3299291131245279,0.6700708868754721,0,0.5231909140075717,96738.0
245,1,5,5,100,D,1978,96738.0,184900.0,96738.0,88162.0,23002,0,0.5231909140075717,0.5231909140075717,1,0.45570015616866216,109425.0
251,1,5,5,100,D,1984,109425.0,240657.0,130700.0,109425.0,23002,3,0.45570015616866216,0.5442998438313379,0,0.39109451661678035,63371.0
253,1,5,5,100,D,1986,63371.0,162035.0,98664.0,63371.0,6344,0,0.39109451661678035,0.6089054833832197,0,0.2636130987986921,58612.0
255,1,5,5,100,D,1988,58612.0,222341.0,163729.0,58612.0,17785,0,0.2636130987986921,0.7363869012013079,0,0.3811916583912612,57579.0
261,1,5,5,100,D,1994,57579.0,179053.0,93471.0,57579.0,17656,0,0.3811916583912612,0.6188083416087389,0,0.5161089639024008,105359.0
267,1,6,6,100,D,1964,115498.0,196603.0,115498.0,81105.0,11477,1,0.5874681464677548,0.5874681464677548,1,0.49368864822095293,79865.0
269,1,6,6,100,D,1966,79865.0,167503.0,81907.0,79865.0,11477,2,0.49368864822095293,0.5063113517790471,0,0.37712280563219014,76413.0
271,1,6,6,100,D,1968,76413.0,202621.0,126208.0,76413.0,26044,0,0.37712280563219014,0.6228771943678099,0,0.6370928826786075,122785.0
277,1,6,6,100,D,1974,122785.0,193550.0,122785.0,69942.0,19656,0,0.6370928826786075,0.6370928826786075,1,0.5685904297912153,134914.0
279,1,6,6,100,D,1976,134914.0,238282.0,134914.0,102364.0,19656,1,0.5685904297912153,0.5685904297912153,1,0.6419782922755517,119537.0
281,1,6,6,100,D,1978,119537.0,186201.0,119537.0,66664.0,19656,2,0.6419782922755517,0.6419782922755517,1,0.3601689507679767,87489.0
287,1,6,6,100,D,1984,87489.0,242911.0,155422.0,87489.0,13825,0,0.3601689507679767,0.6398310492320233,0,0.3582453571037322,62133.0
289,1,6,6,100,D,1986,62133.0,173437.0,111304.0,62133.0,1743,0,0.3582453571037322,0.6417546428962678,0,0.33419269486164,78814.0
291,1,6,6,100,D,1988,78814.0,236888.0,157020.0,78814.0,11773,0,0.33419269486164,0.6658073051383601,0,0.26401410976922157,44159.0
297,1,6,6,100,D,1994,44159.0,192717.0,123101.0,44159.0,15953,0,0.26401410976922157,0.7359858902307784,0,0.4797578770512555,104225.0
303,1,98,7,100,D,1946,277872.0,679766.0,377972.0,277872.0,24480,0,0.4236861204798702,0.5763138795201298,0,0.4977030321366844,429348.0
305,1,98,7,100,D,1948,429348.0,879351.0,433311.0,429348.0,28759,0,0.4977030321366844,0.5022969678633157,0,0.4899524112493444,455887.0
311,1,98,7,100,D,1954,455887.0,930472.0,474585.0,455887.0,17379,0,0.4899524112493444,0.5100475887506556,0,0.3854963959945904,428709.0
321,2,1,8,100,D,1964,95195.0,190593.0,95398.0,95195.0,7263,0,0.4994674515853153,0.5005325484146846,0,0.5269564315621638,81302.0
323,2,1,8,100,D,1966,81302.0,161384.0,81302.0,72984.0,16140,0,0.5269564315621638,0.5269564315621638,1,0.5662309802943377,113501.0
325,2,1,8,100,D,1968,113501.0,200450.0,113501.0,86949.0,16140,1,0.5662309802943377,0.5662309802943377,1,0.49819152279640116,93524.0
331,2,1,8,100,D,1974,93524.0,187727.0,94203.0,93524.0,16140,4,0.49819152279640116,0.5018084772035989,0,0.4262344851514817,108105.0
333,2,1,8,100,D,1976,108105.0,253628.0,145523.0,108105.0,2711,0,0.4262344851514817,0.5737655148485183,0,0.368046290919174,70348.0
335,2,1,8,100,D,1978,70348.0,196485.0,120791.0,70348.0,22773,0,0.368046290919174,0.631953709080826,0,0.3647939059692727,104972.0
341,2,1,8,100,D,1984,104972.0,287757.0,182785.0,104972.0,13375,0,0.3647939059692727,0.6352060940307274,0,0.5485979793613918,121848.0
343,2,1,8,100,D,1986,121848.0,229217.0,121848.0,100260.0,4265,0,0.5485979793613918,0.5485979793613918,1,0.6321752715862224,190989.0
345,2,1,8,100,D,1988,190989.0,302114.0,190989.0,111125.0,4265,1,0.6321752715862224,0.6321752715862224,1,0.4810745786842997,126373.0
351,2,1,8,100,D,1994,126373.0,262689.0,136316.0,126373.0,8820,0,0.4810745786842997,0.5189254213157003,0,0.5531536235390753,173745.0
357,2,2,9,100,D,1964,110931.0,178909.0,110931.0,67978.0,12736,0,0.6200414735983097,0.6200414735983097,1,0.5676211104654234,85956.0
359,2,2,9,100,D,1966,85956.0,151432.0,85956.0,65476.0,12736,1,0.5676211104654234,0.5676211104654234,1,0.5570586666811778,102369.0
361,2,2,9,100,D,1968,102369.0,183767.0,102369.0,81398.0,12736,2,0.5570586666811778,0.5570586666811778,1,0.2863071040693917,47399.0
367,2,2,9,100,D,1974,47399.0,165553.0,118154.0,47399.0,10800,0,0.2863071040693917,0.7136928959306084,0,0.20311426177497857,43150.0
369,2,2,9,100,D,1976,43150.0,219547.0,169292.0,43150.0,6715,0,0.20311426177497857,0.7968857382250214,0,0.4456344953665763,70691.0
371,2,2,9,100,D,1978,70691.0,173037.0,87939.0,70691.0,10800,0,0.4456344953665763,0.5543655046334237,0,0.22983571998252597,57347.0
377,2,2,9,100,D,1984,57347.0,253755.0,192166.0,57347.0,4780,0,0.22983571998252597,0.7701642800174741,0,0.22670284431137724,43614.0
379,2,2,9,100,D,1986,43614.0,192384.0,148770.0,43614.0,5851,0,0.22670284431137724,0.7732971556886228,0,0.33790359299218053,85346.0
381,2,2,9,100,D,1988,85346.0,252575.0,167229.0,85346.0,12802,0,0.33790359299218053,0.6620964070078195,0,0.5285987780237161,109615.0
387,2,2,9,100,D,1994,109615.0,239839.0,109615.0,97754.0,2445,0,0.5285987780237161,0.5285987780237161,1,0.9567183432448669,205439.0
392,3,1,10,100,D,1946,40549.0,102049.0,59222.0,40549.0,9470,0,0.40642070341081077,0.5935792965891893,0,0.42821478825291637,56604.0
394,3,1,10,100,D,1948,56604.0,132186.0,75582.0,56604.0,21209,0,0.42821478825291637,0.5717852117470836,0,0.4441691376579065,54675.0
400,3,1,10,100,D,1954,54675.0,123095.0,68420.0,54675.0,8834,0,0.4441691376579065,0.5558308623420936,0,0.36138065641394773,52213.0
402,3,1,10,100,D,1956,52213.0,145091.0,92269.0,52213.0,26112,0,0.36138065641394773,0.6386193435860522,0,0.4444416414396233,52853.0
404,3,1,10,100,D,1958,52853.0,119469.0,66067.0,52853.0,4945,0,0.4444416414396233,0.5555583585603767,0,0.28860346531042574,43524.0
414,3,1,10,100,D,1974,43524.0,150809.0,107285.0,43524.0,17718,0,0.28860346531042574,0.7113965346895742,0,0.36222913085580055,78181.0
416,3,1,10,100,D,1976,78181.0,215833.0,137652.0,78181.0,18334,0,0.36222913085580055,0.6377708691441994,0,0.2707046068030383,60372.0
421,3,1,10,100,D,1984,60372.0,223018.0,162646.0,60372.0,29899,0,0.2707046068030383,0.7292953931969617,0,0.22199708384959235,32430.0
423,3,1,10,100,D,1986,32430.0,146083.0,113653.0,32430.0,29789,0,0.22199708384959235,0.7780029161504076,0,0.8272818882816974,186356.0
425,3,1,10,100,D,1988,186356.0,225263.0,186356.0,38907.0,2013,0,0.8272818882816974,0.8272818882816974,1,0.5274065125921814,129232.0
436,3,2,11,100,D,1946,56459.0,116213.0,59754.0,56459.0,10601,0,0.4858234448813816,0.5141765551186184,0,0.5486708444599508,81775.0
438,3,2,11,100,D,1948,81775.0,149042.0,81775.0,67267.0,10601,0,0.5486708444599508,0.5486708444599508,1,0.5963605463008329,77899.0
444,3,2,11,100,D,1954,77899.0,130624.0,77899.0,52725.0,3794,1,0.5963605463008329,0.5963605463008329,1,0.6122155816056892,103563.0
446,3,2,11,100,D,1956,103563.0,169161.0,103563.0,65598.0,3794,2,0.6122155816056892,0.6122155816056892,1,0.7638076728551864,134408.0
458,3,2,11,100,D,1976,134408.0,185747.0,134408.0,41563.0,3794,12,0.7638076728551864,0.7638076728551864,1,0.7283561968003098,101570.0
460,3,2,11,100,D,1978,101570.0,139451.0,101570.0,37881.0,3794,13,0.7283561968003098,0.7283561968003098,1,0.686973223715546,132693.0
466,3,2,11,100,D,1984,132693.0,193156.0,132693.0,60463.0,3794,16,0.686973223715546,0.686973223715546,1,0.6593966172902104,91033.0
468,3,2,11,100,D,1986,91033.0,138055.0,91033.0,47022.0,3794,17,0.6593966172902104,0.6593966172902104,1,0.80254534995994,156262.0
470,3,2,11,100,D,1988,156262.0,194708.0,156262.0,38446.0,20494,0,0.80254534995994,0.80254534995994,1,0.6170185877520931,117178.0
480,3,3,12,100,D,1946,69038.0,111071.0,69038.0,42033.0,22089,0,0.621566385465153,0.621566385465153,1,0.7394596199524941,104601.0
482,3,3,12,100,D,1948,104601.0,141456.0,104601.0,36855.0,22089,1,0.7394596199524941,0.7394596199524941,1,0.7094243586655054,114848.0
489,3,3,12,100,D,1956,114848.0,161889.0,114848.0,47041.0,22089,5,0.7094243586655054,0.7094243586655054,1,0.7103583646458416,126664.0
496,3,3,12,100,D,1966,126664.0,178310.0,126664.0,51646.0,22089,10,0.7103583646458416,0.7103583646458416,1,0.6332328498140133,91587.0
498,3,3,12,100,D,1968,91587.0,191494.0,91587.0,53047.0,22089,11,0.6332328498140133,0.6332328498140133,1,0.5630644569339599,78244.0
503,3,3,12,100,D,1974,78244.0,157979.0,78244.0,60717.0,8899,0,0.5630644569339599,0.5630644569339599,1,0.7524590784130747,119337.0
506,3,3,12,100,D,1978,119337.0,158596.0,119337.0,39259.0,8899,2,0.7524590784130747,0.7524590784130747,1,0.6741302116916259,148461.0
511,3,3,12,100,D,1984,148461.0,220226.0,148461.0,71765.0,8899,5,0.6741302116916259,0.6741302116916259,1,0.44720499859187873,93689.0
517,3,3,12,100,D,1994,93689.0,211874.0,115810.0,93689.0,20928,0,0.44720499859187873,0.5527950014081213,0,0.538586093850952,135044.0
523,3,4,13,100,D,1946,59847.0,120925.0,59847.0,58663.0,8374,0,0.5049953590414311,0.5049953590414311,1,0.5917401934729457,89064.0
525,3,4,13,100,D,1948,89064.0,150512.0,89064.0,61448.0,8374,1,0.5917401934729457,0.5917401934729457,1,0.5713175255037112,83053.0
530,3,4,13,100,D,1954,83053.0,145371.0,83053.0,62318.0,8374,4,0.5713175255037112,0.5713175255037112,1,0.6378807209946251,93993.0
533,3,4,13,100,D,1958,93993.0,147352.0,93993.0,53359.0,8374,6,0.6378807209946251,0.6378807209946251,1,0.7175321238273353,142339.0
538,3,4,13,100,D,1964,142339.0,198373.0,142339.0,56034.0,8374,9,0.7175321238273353,0.7175321238273353,1,0.6095017322961347,121211.0
541,3,4,13,100,D,1968,121211.0,198869.0,121211.0,77658.0,8374,11,0.6095017322961347,0.6095017322961347,1,0.5941831768803192,77286.0
547,3,4,13,100,D,1974,77286.0,151993.0,77286.0,52785.0,8639,2,0.5941831768803192,0.5941831768803192,1,0.5207453652957156,109268.0
549,3,4,13,100,D,1976,109268.0,209830.0,109268.0,100562.0,8639,3,0.5207453652957156,0.5207453652957156,1,0.7419965325460038,172903.0
556,3,4,13,100,D,1984,172903.0,233024.0,172903.0,60121.0,10326,2,0.7419965325460038,0.7419965325460038,1,0.8885443389489831,134387.0
558,3,4,13,100,D,1986,134387.0,151244.0,134387.0,16857.0,10326,3,0.8885443389489831,0.8885443389489831,1,0.7031318613032851,169729.0
569,3,5,14,100,D,1946,38575.0,137549.0,98488.0,38575.0,1673,0,0.28143992178779104,0.718560078212209,0,0.2671812422631617,55038.0
577,3,5,14,100,D,1956,55038.0,205995.0,150957.0,55038.0,6774,0,0.2671812422631617,0.7328187577368382,0,0.3398173110830518,59746.0
579,3,5,14,100,D,1958,59746.0,175818.0,116072.0,59746.0,27812,0,0.3398173110830518,0.6601826889169482,0,0.34990182566503675,74133.0
585,3,5,14,100,D,1964,74133.0,211868.0,137735.0,74133.0,2095,0,0.34990182566503675,0.6500981743349633,0,0.25189946777683847,47377.0
587,3,5,14,100,D,1966,47377.0,188079.0,140702.0,47377.0,28777,0,0.25189946777683847,0.7481005322231615,0,0.39590435434346366,81875.0
589,3,5,14,100,D,1968,81875.0,206805.0,124930.0,81875.0,17565,0,0.39590435434346366,0.6040956456565364,0,0.6063955543098091,99518.0
594,3,5,14,100,D,1974,99518.0,164114.0,99518.0,64596.0,28779,0,0.6063955543098091,0.6063955543098091,1,0.6731154289554871,144217.0
596,3,5,14,100,D,1976,144217.0,214253.0,144217.0,70036.0,28779,1,0.6731154289554871,0.6731154289554871,1,0.649347094878314,90156.0
598,3,5,14,100,D,1978,90156.0,172676.0,90156.0,48685.0,26027,0,0.649347094878314,0.649347094878314,1,0.5335585986128402,120008.0
603,3,5,14,100,D,1984,120008.0,224920.0,120008.0,104912.0,2190,0,0.5335585986128402,0.5335585986128402,1,0.8411741853129712,181877.0
606,3,5,14,100,D,1988,181877.0,216218.0,181877.0,34341.0,2190,2,0.8411741853129712,0.8411741853129712,1,0.6985292292724574,140725.0
616,3,6,15,100,D,1946,33823.0,113532.0,79709.0,33823.0,21120,0,0.2979160060599655,0.7020839939400345,0,0.2882012204565871,37216.0
622,3,6,15,100,D,1954,37216.0,129132.0,91916.0,37216.0,11117,0,0.2882012204565871,0.711798779543413,0,0.3429448767867338,66675.0
631,3,6,15,100,D,1966,66675.0,194419.0,127744.0,66675.0,21541,0,0.3429448767867338,0.6570551232132662,0,0.3392149767195001,70304.0
633,3,6,15,100,D,1968,70304.0,207255.0,136951.0,70304.0,13046,0,0.3392149767195001,0.6607850232804998,0,0.5701327755291558,121562.0
640,3,6,15,100,D,1976,121562.0,221806.0,121562.0,91655.0,12510,3,0.5701327755291558,0.5701327755291558,1,0.537616964730635,97099.0
642,3,6,15,100,D,1978,97099.0,180610.0,97099.0,83511.0,18108,0,0.537616964730635,0.537616964730635,1,0.7269130481629135,168662.0
648,3,6,15,100,D,1984,168662.0,239640.0,168662.0,63363.0,17977,0,0.7269130481629135,0.7269130481629135,1,0.6971066872294754,177643.0
651,3,6,15,100,D,1988,177643.0,254829.0,177643.0,77186.0,18108,4,0.6971066872294754,0.6971066872294754,1,0.48406580984758973,113481.0
657,3,6,15,100,D,1994,113481.0,239393.0,120952.0,113481.0,28525,0,0.48406580984758973,0.5159341901524103,0,0.5006775985905949,133002.0
663,3,7,16,100,D,1946,59871.0,98554.0,59871.0,37250.0,16317,0,0.6164578206567066,0.6164578206567066,1,0.7920692812934192,100333.0
665,3,7,16,100,D,1948,100333.0,126672.0,100333.0,26339.0,16317,1,0.7920692812934192,0.7920692812934192,1,0.6447104463521846,87415.0
671,3,7,16,100,D,1956,87415.0,135588.0,87415.0,48173.0,16317,5,0.6447104463521846,0.6447104463521846,1,0.7558273071470868,84243.0
673,3,7,16,100,D,1958,84243.0,111458.0,84243.0,27215.0,16317,6,0.7558273071470868,0.7558273071470868,1,0.7694754544549307,139095.0
678,3,7,16,100,D,1964,139095.0,180766.0,139095.0,41671.0,17427,5,0.7694754544549307,0.7694754544549307,1,0.7449415166414288,119543.0
680,3,7,16,100,D,1966,119543.0,160473.0,119543.0,40930.0,17427,6,0.7449415166414288,0.7449415166414288,1,0.6251575155162588,119562.0
682,3,7,16,100,D,1968,119562.0,191251.0,119562.0,71689.0,17427,7,0.6251575155162588,0.6251575155162588,1,0.7978174551344008,122165.0
688,3,7,16,100,D,1974,122165.0,153124.0,122165.0,30959.0,17427,10,0.7978174551344008,0.7978174551344008,1,0.8139304881293645,162126.0
689,3,7,16,100,D,1976,162126.0,210788.0,162126.0,37063.0,17799,0,0.8139304881293645,0.8139304881293645,1,0.8484140486622541,145615.0
691,3,7,16,100,D,1978,145615.0,171632.0,145615.0,26017.0,17799,1,0.8484140486622541,0.8484140486622541,1,0.7141466039694031,167211.0
695,3,7,16,100,D,1984,167211.0,234141.0,167211.0,66930.0,17799,4,0.7141466039694031,0.7141466039694031,1,0.6444826370527058,146246.0
702,3,7,16,100,D,1994,146246.0,226920.0,146246.0,80674.0,17799,9,0.6444826370527058,0.6444826370527058,1,0.6985441489781425,177053.0
708,3,8,17,100,D,1946,43827.0,120132.0,76305.0,43827.0,23771,0,0.3648236939366697,0.6351763060633303,0,0.48964746889530386,72767.0
710,3,8,17,100,D,1948,72767.0,148611.0,75844.0,72767.0,23771,0,0.48964746889530386,0.5103525311046961,0,0.5319370532593343,74568.0
716,3,8,17,100,D,1954,74568.0,140182.0,74568.0,65614.0,17427,0,0.5319370532593343,0.5319370532593343,1,0.5478477262627759,92463.0
718,3,8,17,100,D,1956,92463.0,168775.0,92463.0,76312.0,17427,1,0.5478477262627759,0.5478477262627759,1,0.6635523531849611,91263.0
720,3,8,17,100,D,1958,91263.0,137537.0,91263.0,46274.0,17427,2,0.6635523531849611,0.6635523531849611,1,0.927533469087128,107042.0
731,3,8,17,100,D,1974,107042.0,121826.0,107042.0,8363.0,21229,4,0.927533469087128,0.927533469087128,1,0.7992591614235628,133131.0
732,3,8,17,100,D,1976,133131.0,178823.0,133131.0,33437.0,21229,5,0.7992591614235628,0.7992591614235628,1,0.781481878126769,102160.0
734,3,8,17,100,D,1978,102160.0,136919.0,102160.0,28566.0,20912,7,0.781481878126769,0.781481878126769,1,0.9191002266831093,179617.0
740,3,8,17,100,D,1984,179617.0,195427.0,179617.0,15810.0,20912,10,0.9191002266831093,0.9191002266831093,1,0.7221792836933268,104651.0
741,3,8,17,100,D,1986,104651.0,144910.0,104651.0,40259.0,15391,3,0.7221792836933268,0.7221792836933268,1,0.8043491975677105,165745.0
743,3,8,17,100,D,1988,165745.0,206061.0,165745.0,40316.0,15391,4,0.8043491975677105,0.8043491975677105,1,0.8434721290611079,147126.0
753,3,9,18,100,D,1946,43367.0,114799.0,69831.0,43367.0,18203,0,0.38310747539709183,0.6168925246029082,0,0.43331621297722994,63275.0
