Height,Weight,Sex
161.06,52.13,Female
159.08,70.60,Female
157.87,85.82,Female
178.20,71.57,Male
179.05,90.25,Male
175.28,57.98,Male
171.21,74.94,Male
176.12,69.91,Male
155.43,97.98,Male
155.90,61.72,Male
147.82,54.45,Female
134.01,65.26,Female
141.45,62.94,Female
131.12,62.81,Female
140.01,84.12,Female
150.52,74.49,Female
158.61,88.82,Male
163.30,104.58,Male
140.79,62.45,Male
176.00,98.52,Male
159.88,75.61,Female
175.40,76.57,Male
160.34,76.06,Male
190.94,55.79,Male
167.89,88.86,Male
177.36,73.70,Male
168.78,68.27,Male
171.76,90.23,Male
141.40,68.61,Female
137.42,53.22,Female
161.96,70.54,Female
165.13,55.05,Male
171.13,77.79,Male
158.79,66.75,Female
157.47,62.17,Female
155.13,51.06,Female
162.11,56.35,Female
157.30,58.24,Female
139.14,51.78,Female
175.67,71.64,Male
173.34,72.93,Male
145.49,43.44,Female
156.48,64.00,Female
146.23,81.80,Female
132.76,66.20,Female
142.25,83.66,Female
178.77,65.28,Male
165.10,47.33,Male
166.56,62.39,Male
163.21,87.84,Male
143.55,88.00,Male
141.05,66.76,Female
137.27,60.20,Female
161.47,67.03,Male
179.57,80.47,Male
177.22,63.66,Male
153.93,72.61,Male
160.53,63.31,Female
148.88,81.01,Female
164.37,71.42,Female
175.62,83.99,Male
178.62,80.94,Male
174.33,91.15,Male
180.87,75.98,Male
152.29,49.65,Female
151.43,62.83,Female
152.28,77.08,Female
154.66,48.50,Female
158.65,80.30,Female
139.12,57.10,Female
157.23,69.38,Male
155.66,68.18,Female
144.51,72.26,Female
147.57,64.44,Female
139.96,71.00,Female
143.17,81.15,Female
144.28,59.36,Female
169.95,81.65,Male
179.40,89.32,Male
178.54,75.10,Male
144.06,81.77,Female
137.69,60.13,Female
158.60,64.21,Female
156.95,80.99,Male
200.45,98.51,Male
167.42,63.36,Male
157.52,62.54,Female
158.89,65.87,Female
172.14,95.25,Female
148.35,70.62,Male
169.72,71.49,Male
153.64,70.97,Male
156.82,61.65,Male
171.01,100.84,Male
186.56,72.53,Male
154.46,43.66,Female
149.23,62.44,Female
159.53,52.87,Female
149.31,76.89,Female
150.38,54.96,Female
144.03,60.84,Female
172.25,55.10,Female
166.83,86.57,Male
146.97,74.75,Male
152.16,85.93,Male
146.02,43.19,Female
150.02,59.61,Female
162.93,88.16,Male
164.99,93.50,Male
182.54,91.86,Male
147.14,45.38,Female
167.13,56.11,Male
162.45,64.92,Male
181.20,22.40,Male
164.56,51.84,Male
175.50,64.03,Male
160.82,50.22,Female
154.26,70.04,Female
180.82,98.12,Male
174.52,93.17,Male
175.03,58.02,Male
182.38,74.65,Male
144.68,47.65,Female
157.93,47.64,Female
157.05,70.48,Female
149.59,61.75,Female
176.79,71.89,Male
163.76,75.80,Male
171.10,69.22,Female
126.97,67.00,Female
170.17,80.69,Male
160.86,58.80,Male
134.74,70.74,Female
162.13,59.92,Female
132.10,54.17,Female
134.44,25.50,Female
122.50,45.81,Female
137.74,64.94,Female
166.30,67.96,Male
154.05,68.43,Female
158.69,72.18,Male
163.26,60.35,Male
163.23,48.66,Male
164.57,92.37,Male
188.35,74.13,Male
173.27,80.98,Male
159.88,53.42,Female
165.01,62.52,Female
160.78,81.59,Female
147.37,48.37,Female
177.71,70.76,Male
164.29,63.88,Male
171.62,57.53,Male
183.78,79.90,Male
170.37,78.66,Male
153.69,67.01,Female
145.97,60.17,Female
137.34,60.01,Female
146.90,60.19,Female
166.05,58.08,Female
185.04,83.90,Male
138.42,56.33,Female
160.21,60.27,Male
176.58,91.75,Male
164.82,46.78,Male
142.81,60.23,Female
154.99,60.83,Female
155.62,53.70,Female
141.28,41.34,Female
124.80,55.60,Female
179.55,65.47,Male
170.37,80.14,Male
147.09,59.40,Male
175.47,92.24,Male
179.51,71.78,Male
184.66,71.12,Male
150.00,61.61,Female
153.14,56.27,Female
145.27,64.31,Female
146.44,39.18,Female
169.23,62.52,Male
149.29,54.02,Female
160.70,68.59,Female
169.22,62.08,Male
178.54,77.47,Male
153.00,71.48,Male
165.70,72.21,Male
138.86,77.10,Female
135.57,49.18,Female
158.27,68.50,Male
180.53,100.69,Male
148.59,96.66,Male
164.62,62.73,Male
171.69,65.18,Male
155.38,56.20,Female
163.92,68.82,Female
143.58,61.51,Female
163.96,64.89,Female
157.96,63.22,Male
150.30,68.85,Female
166.37,50.55,Female
170.68,84.27,Male
173.55,90.62,Male
145.88,64.07,Female
147.93,71.29,Female
147.96,43.76,Female
160.24,91.12,Male
185.94,70.24,Male
175.12,83.00,Male
182.02,67.00,Male
172.24,86.04,Male
165.88,69.86,Male
136.21,76.65,Female
148.08,49.96,Female
159.90,46.36,Female
176.97,81.72,Male
169.88,87.50,Male
180.63,92.13,Male
169.99,64.93,Male
166.02,51.23,Female
146.32,64.31,Female
163.08,115.18,Male
179.05,71.73,Male
154.43,72.23,Female
151.30,68.12,Female
153.41,46.39,Female
154.97,70.42,Female
144.32,42.22,Female
163.65,91.44,Male
174.61,62.65,Male
172.60,107.18,Male
157.52,49.18,Male
133.11,47.90,Female
126.64,62.60,Female
140.07,57.88,Female
174.88,73.12,Male
161.43,60.27,Female
190.23,75.10,Male
177.11,80.56,Male
170.65,47.03,Male
151.32,59.83,Female
162.43,92.97,Male
173.52,66.44,Male
146.89,45.56,Female
147.41,78.43,Female
164.81,90.42,Male
161.95,55.73,Female
3050.00,39.16,Female
177.41,76.17,Male
174.52,85.34,Male
163.66,71.15,Male
181.62,73.81,Male
153.47,64.68,Female
154.53,80.57,Female
157.17,53.26,Female
131.38,68.44,Female
161.07,31.75,Female
167.87,69.69,Male
173.34,59.42,Male
173.28,98.70,Male
165.68,46.30,Male
153.33,73.61,Male
151.58,38.47,Female
171.97,42.83,Female
134.92,39.84,Female
150.80,71.50,Female
132.54,60.02,Female
160.86,93.33,Male
171.87,101.19,Male
142.30,60.44,Female
164.88,50.62,Female
167.53,45.83,Female
126.23,54.74,Female
169.76,57.93,Male
170.41,95.04,Male
173.60,66.58,Male
148.70,66.33,Female
141.16,68.23,Female
140.48,45.18,Female
168.46,37.38,Female
155.98,74.85,Male
135.67,59.73,Female
138.57,66.35,Female
161.53,58.20,Female
164.95,59.01,Male
134.36,63.06,Female
152.38,50.98,Female
189.78,65.00,Male
182.59,69.32,Male
172.70,80.48,Male
146.70,87.72,Male
154.77,73.45,Male
151.98,78.55,Female
144.22,77.71,Female
131.81,68.16,Female
174.60,55.84,Male
176.06,60.20,Male
177.54,87.38,Male
161.42,67.31,Female
163.98,60.56,Female
151.45,71.60,Female
166.56,91.67,Female
164.23,47.14,Female
131.93,71.16,Female
179.46,91.73,Male
174.11,75.87,Male
161.52,101.57,Male
154.74,64.53,Female
147.49,51.36,Female
154.20,73.94,Female
192.72,61.43,Male
183.98,87.37,Male
172.40,69.83,Male
183.34,62.63,Male
166.79,102.45,Male
174.91,69.23,Male
145.86,43.67,Female
160.13,65.90,Female
170.25,81.59,Male
158.07,88.20,Male
186.20,71.22,Male
179.16,89.29,Male
168.69,84.00,Female
134.61,71.45,Female
169.49,65.55,Female
160.21,90.34,Female
159.30,75.94,Male
176.63,92.94,Male
172.77,76.16,Male
132.89,88.32,Female
141.82,60.46,Female
150.01,73.75,Female
171.60,72.51,Female
155.12,71.19,Female
151.28,62.58,Female
164.60,72.10,Male
157.03,50.46,Female
124.91,75.96,Female
144.02,76.88,Female
175.61,81.23,Male
181.14,83.77,Male
190.65,42.22,Male
195.93,83.22,Male
167.02,78.84,Male
148.60,68.19,Female
133.25,70.23,Female
140.72,59.40,Female
178.80,68.24,Male
198.57,65.99,Male
166.09,80.55,Male
174.26,90.37,Male
173.85,74.65,Male
157.48,62.53,Female
147.33,59.92,Female
163.50,71.14,Male
177.37,101.32,Male
155.81,98.82,Male
136.76,75.84,Female
140.89,72.76,Female
161.79,47.18,Female
166.94,51.87,Female
138.65,44.33,Female
147.00,60.43,Female
121.75,50.61,Female
176.91,48.75,Male
147.31,51.34,Female
140.68,52.76,Female
153.94,61.44,Female
177.71,92.83,Male
162.39,86.02,Male
173.68,52.16,Male
164.48,61.84,Male
171.00,58.34,Male
130.13,69.34,Female
143.26,47.53,Female
154.87,61.88,Female
166.10,60.15,Female
171.18,100.80,Male
170.16,85.54,Male
165.23,107.34,Male
160.85,92.69,Male
144.55,46.61,Female
142.43,47.02,Female
139.90,61.12,Female
177.43,74.79,Female
177.56,102.18,Male
180.87,61.17,Male
161.46,71.89,Male
148.55,72.56,Female
153.92,52.42,Female
172.06,53.22,Male
138.06,66.99,Female
133.16,66.54,Female
168.64,57.37,Male
175.89,58.92,Male
173.50,53.69,Male
150.12,53.73,Female
142.66,67.18,Female
157.56,72.80,Male
173.68,60.49,Male
171.20,57.19,Male
168.10,67.26,Female
157.05,78.64,Female
141.93,52.43,Female
130.47,58.36,Female
154.09,95.19,Male
156.01,58.80,Male
152.75,63.42,Female
166.30,40.60,Female
156.71,79.21,Male
157.59,83.35,Male
164.67,65.84,Male
161.81,107.86,Male
169.53,76.65,Male
160.07,92.95,Male
163.90,94.31,Male
169.66,84.91,Male
143.11,66.50,Female
152.13,91.14,Female
150.48,42.84,Female
129.27,62.56,Female
184.96,76.42,Male
133.28,58.86,Female
143.31,55.55,Female
158.40,59.91,Female
147.23,62.32,Female
146.34,66.85,Female
182.59,73.82,Male
158.51,88.80,Male
150.88,57.51,Female
148.83,64.80,Female
141.97,45.79,Female
183.26,65.49,Male
165.14,72.21,Male
173.24,62.20,Male
147.77,58.55,Female
140.66,61.48,Female
146.38,72.48,Female
159.41,92.46,Male
173.01,70.89,Male
154.76,71.94,Male
167.90,90.43,Male
195.43,54.14,Male
141.67,53.84,Female
153.08,68.79,Female
170.64,40.04,Female
163.70,81.28,Male
173.91,74.05,Male
169.88,55.65,Male
166.64,76.18,Male
176.55,62.91,Male
170.74,73.57,Male
133.99,76.03,Female
148.75,64.81,Female
157.90,55.95,Female
138.25,85.08,Female
168.93,91.94,Male
170.88,77.04,Male
182.72,37.86,Male
170.45,50.43,Female
136.33,61.30,Female
159.97,61.43,Female
138.63,46.62,Female
145.42,77.48,Female
196.92,73.52,Male
185.12,85.64,Male
155.79,95.75,Male
164.55,75.11,Female
127.66,69.19,Female
152.70,82.01,Female
165.81,73.90,Female
165.23,93.13,Male
156.36,59.87,Female
147.69,50.67,Female
175.14,62.09,Male
179.75,82.28,Male
155.58,66.76,Female
160.52,57.69,Female
165.23,84.89,Male
154.24,95.82,Male
168.56,89.04,Male
155.78,62.58,Female
148.62,56.00,Female
177.58,100.98,Male
169.50,74.49,Male
166.73,65.60,Female
156.61,50.45,Female
150.13,45.93,Female
163.03,60.35,Male
185.51,69.54,Male
157.28,66.61,Female
135.63,69.24,Female
170.41,59.26,Male
175.55,75.15,Male
162.34,92.47,Male
142.41,83.04,Female
149.58,58.35,Female
178.31,75.60,Female
176.10,58.03,Male
176.99,96.46,Male
149.90,72.59,Female
151.82,66.71,Female
160.27,63.81,Male
173.36,111.46,Male
153.41,92.82,Female
132.54,82.20,Female
138.41,82.64,Female
152.80,74.06,Female
153.19,66.45,Female
165.61,62.75,Male
166.02,57.89,Male
144.66,74.64,Female
154.89,53.13,Male
138.79,73.70,Female
147.17,44.40,Female
139.98,72.07,Female
168.94,65.94,Male
185.76,59.77,Male
181.77,76.22,Male
145.38,43.23,Female
138.00,56.05,Female
148.52,71.46,Female
136.94,63.82,Female
155.51,52.66,Female
163.52,98.60,Male
165.05,67.55,Male
151.44,67.02,Female
160.65,61.94,Male
165.91,71.32,Male
192.09,77.12,Male
167.44,96.51,Male
155.00,38.47,Female
131.55,81.07,Female
143.11,68.33,Female
136.36,53.33,Female
164.99,95.60,Male
165.37,75.82,Male
176.60,73.92,Male
190.42,61.75,Male
172.78,80.29,Male
156.90,93.70,Male
152.30,60.04,Female
154.27,59.91,Female
135.47,63.38,Female
146.14,44.75,Female
146.45,52.48,Female
186.19,88.46,Male
176.30,76.05,Male
164.60,61.13,Male
150.65,64.01,Male
154.76,59.05,Female
141.44,58.50,Female
165.40,72.16,Female
146.93,61.71,Female
153.12,59.95,Female
139.67,88.07,Female
161.37,67.24,Male
186.81,76.12,Male
172.54,95.96,Male
186.45,72.12,Male
161.45,64.82,Female
171.08,103.63,Male
158.36,49.88,Male
174.39,76.60,Male
168.88,77.36,Male
142.50,52.33,Female
144.94,66.88,Female
161.99,47.60,Female
149.57,58.53,Female
184.19,56.60,Male
154.80,88.64,Male
171.55,107.01,Male
139.15,79.05,Female
136.97,61.66,Female
137.43,68.45,Female
172.55,63.26,Male
160.99,83.19,Male
185.31,42.54,Male
175.49,54.70,Male
164.33,67.53,Male
115.94,74.86,Female
143.59,44.33,Female
173.29,86.39,Male
170.73,38.61,Male
166.78,65.07,Male
170.31,91.63,Male
152.99,52.20,Female
146.73,36.78,Female
151.30,50.59,Female
157.45,58.71,Female
169.03,47.67,Male
164.48,79.26,Male
170.97,83.98,Male
170.38,67.19,Male
176.37,53.91,Male
175.97,65.40,Female
148.76,58.97,Female
162.47,48.24,Female
147.87,76.61,Female
158.31,50.54,Female
189.83,97.51,Male
182.74,79.43,Male
153.97,40.04,Female
178.98,90.59,Male
167.24,81.14,Male
169.17,89.97,Male
170.19,66.54,Male
161.83,76.71,Female
158.23,66.27,Female
153.68,79.72,Female
135.70,59.54,Female
179.88,76.72,Male
162.83,79.34,Male
190.08,78.25,Male
166.33,60.40,Male
153.75,39.29,Female
153.16,35.72,Female
129.48,55.69,Female
136.89,59.48,Female
142.06,60.65,Female
144.00,61.69,Female
191.22,107.33,Male
171.17,74.57,Male
166.14,83.96,Male
153.37,77.94,Female
144.97,65.45,Female
130.59,56.75,Female
168.59,91.54,Male
170.08,81.62,Male
161.04,102.70,Male
143.02,56.25,Female
154.70,54.05,Female
151.30,75.07,Female
160.40,44.63,Female
162.33,44.66,Male
163.72,66.02,Male
186.24,83.87,Male
160.90,107.24,Male
194.12,62.71,Male
148.20,53.85,Female
144.52,63.54,Female
164.36,79.95,Female
151.77,53.05,Female
175.41,63.02,Male
171.64,52.37,Male
186.57,52.71,Male
172.06,60.83,Male
135.23,56.52,Female
156.31,51.61,Female
176.33,49.43,Female
156.10,66.25,Male
173.90,76.01,Male
158.94,81.61,Male
147.41,61.91,Female
150.52,59.49,Female
168.62,82.83,Male
173.12,78.02,Male
145.94,55.83,Female
157.96,56.74,Female
150.77,51.14,Female
152.26,61.60,Female
149.69,55.30,Female
153.66,76.01,Female
163.33,63.26,Female
155.20,63.69,Female
152.98,85.11,Female
157.16,59.08,Female
153.83,39.29,Female
159.67,55.78,Female
151.37,58.45,Female
152.78,61.60,Female
149.86,71.70,Female
171.64,67.38,Male
171.60,89.63,Male
167.81,71.16,Male
157.41,75.03,Male
174.86,35.64,Male
150.08,57.51,Female
172.46,79.90,Male
178.35,71.66,Male
160.99,78.77,Male
168.22,87.75,Male
172.27,95.49,Male
156.51,59.47,Male
193.03,55.75,Male
168.94,64.92,Female
141.32,57.40,Female
166.25,77.28,Male
185.23,48.79,Male
134.78,66.86,Female
158.57,52.22,Female
159.83,69.86,Female
145.36,56.85,Female
146.89,75.39,Female
157.46,79.06,Male
174.27,85.69,Male
172.55,90.72,Male
152.02,56.25,Female
170.83,63.47,Female
163.25,46.81,Female
161.54,89.86,Male
185.05,76.95,Male
144.51,58.50,Female
143.11,68.92,Female
150.52,62.86,Female
176.69,84.85,Male
151.97,98.40,Male
165.39,101.03,Male
169.32,47.43,Male
129.04,78.03,Female
160.95,75.90,Female
154.64,79.92,Male
154.55,85.72,Female
125.27,75.05,Female
141.54,49.79,Female
162.50,39.29,Female
133.99,68.01,Female
141.73,40.46,Female
173.44,95.32,Male
194.23,57.07,Male
153.99,63.46,Female
157.14,70.24,Female
188.02,70.28,Male
163.21,69.20,Male
189.08,60.31,Male
152.59,80.71,Female
159.62,67.48,Female
143.25,64.36,Female
167.63,81.05,Female
159.51,102.62,Male
156.89,78.02,Male
155.68,87.51,Male
147.18,69.32,Female
139.85,79.40,Female
172.45,75.81,Male
167.19,66.76,Male
160.29,79.32,Male
167.70,59.64,Female
159.31,69.47,Female
147.56,44.20,Female
173.35,58.26,Male
171.98,61.03,Female
149.66,63.18,Female
143.05,56.83,Female
158.77,69.42,Male
180.92,73.04,Male
179.12,41.24,Male
151.33,50.93,Female
173.93,65.32,Female
153.73,46.52,Female
170.33,64.48,Male
184.69,82.08,Male
178.03,75.52,Male
165.57,65.12,Female
146.15,73.85,Female
146.44,48.92,Female
168.22,51.34,Female
169.97,86.57,Male
161.38,87.24,Male
143.11,74.01,Female
151.03,50.18,Female
159.89,65.86,Female
167.54,62.77,Male
191.73,64.60,Male
162.53,58.50,Female
167.74,60.71,Female
160.88,77.80,Female
127.30,49.13,Female
169.50,63.47,Male
164.72,53.13,Male
152.62,53.17,Female
141.75,65.41,Female
175.31,54.45,Female
175.09,71.39,Male
164.73,64.46,Female
145.06,67.56,Female
148.21,50.97,Female
166.39,121.98,Male
170.01,61.17,Male
177.82,52.37,Male
155.21,63.03,Male
163.24,60.13,Male
147.23,80.20,Female
151.11,42.27,Female
128.89,60.18,Female
152.34,50.74,Female
184.09,92.51,Male
172.38,78.80,Male
168.75,91.74,Male
170.40,83.71,Male
142.56,52.48,Female
164.21,62.54,Female
157.52,45.13,Female
167.58,79.42,Female
150.38,49.15,Female
187.92,75.85,Male
187.83,102.41,Male
140.69,58.12,Female
167.64,52.05,Female
142.32,55.19,Female
188.07,77.35,Male
178.93,70.57,Male
172.72,35.32,Male
184.71,84.39,Male
155.17,89.21,Male
187.90,88.32,Male
154.21,41.44,Female
157.24,58.14,Female
143.63,37.77,Female
139.79,61.68,Female
137.93,75.13,Female
165.90,62.56,Female
165.34,65.93,Male
156.86,61.34,Female
167.77,85.94,Male
166.74,40.36,Male
159.20,52.71,Male
173.33,64.14,Male
177.14,73.40,Male
175.91,48.81,Male
149.14,63.59,Female
157.12,69.36,Female
157.70,48.85,Female
153.33,66.82,Female
169.91,67.55,Male
166.22,76.68,Male
171.77,71.52,Male
152.02,45.92,Female
157.87,46.52,Female
182.65,79.41,Male
161.87,71.16,Male
161.00,73.67,Male
175.25,88.10,Male
183.09,85.60,Male
193.80,59.01,Male
155.76,71.53,Female
192.23,69.69,Male
157.75,57.92,Female
152.69,50.98,Female
143.46,45.75,Female
170.22,49.09,Male
185.54,64.78,Male
169.59,59.31,Female
170.50,52.00,Female
179.79,70.01,Male
179.02,96.50,Male
171.82,84.93,Male
142.69,63.84,Female
175.17,82.76,Male
164.39,54.68,Male
171.39,96.39,Male
175.92,82.46,Male
179.06,62.35,Male
171.63,102.02,Male
152.96,50.49,Female
147.51,58.10,Female
175.29,86.34,Male
184.23,88.52,Male
161.87,80.03,Female
151.35,35.47,Female
156.15,48.41,Female
146.89,42.76,Female
151.32,57.22,Female
139.66,48.29,Female
178.04,67.51,Male
146.88,78.39,Male
164.81,89.24,Male
183.62,78.57,Male
184.12,91.90,Male
143.67,79.15,Female
172.00,54.68,Female
161.78,56.91,Female
154.76,64.01,Female
159.35,47.31,Female
162.55,71.29,Male
188.97,73.52,Male
182.80,109.88,Male
184.56,37.57,Male
146.34,59.44,Female
143.39,69.27,Female
156.10,48.33,Female
157.87,50.89,Female
164.89,59.26,Female
151.89,43.19,Female
158.67,60.30,Male
192.91,76.13,Male
167.96,78.21,Male
143.79,60.21,Female
167.58,108.83,Male
171.51,89.66,Male
160.82,70.01,Male
175.32,92.43,Male
156.76,70.03,Male
171.73,52.17,Male
155.54,72.82,Female
164.60,73.30,Female
179.52,68.29,Male
185.34,56.26,Male
173.93,83.22,Male
168.92,68.24,Male
147.89,69.50,Female
156.77,47.79,Female
150.56,49.66,Female
169.54,74.02,Female
146.66,63.90,Female
160.65,24.14,Male
164.89,106.55,Male
157.74,95.91,Male
147.84,70.85,Male
166.08,80.18,Male
160.73,97.77,Male
179.78,115.05,Male
152.52,85.35,Female
145.73,59.41,Female
145.99,65.87,Female
176.04,73.03,Male
160.65,64.16,Male
174.69,89.17,Male
160.02,89.58,Male
188.66,66.89,Male
167.48,45.69,Female
153.23,55.09,Female
160.12,62.97,Male
143.81,73.38,Male
168.33,94.33,Male
